"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00002875,,"Ilim College",,"48-50 Box Forest Rd",GLENROY,VIC,3046,29/12/2011,
PR-00002876,,"Porepunkah Primary School Council",,"PO Box 229",POREPUNKAH,VIC,3740,29/12/2011,
PR-00002877,,"Manchester Primary School",,"Monomeith Street",MOOROOLBARK,VIC,3138,29/12/2011,
PR-00002878,,"Tullamarine Primary School",,"Broadmeadows Road",TULLAMARINE,VIC,3043,29/12/2011,
PR-00002879,,"Anderson's Creek Primary School Council",,"Drysdale Road",WARRANDYTE,VIC,3113,29/12/2011,
PR-00002880,,"Preston West Primary School Council",,"383 Murray Road",PRESTON,VIC,3072,29/12/2011,
PR-00002881,,"St Patrick's Church",,"St Patricks Primary School, 40-52 Ovens St",WANGARATTA,VIC,3677,29/12/2011,
PR-00002882,,"Fitzroy North Primary School OSHC","Fitzroy North Primary School OSHC","Fergie Street","FITZROY NORTH",VIC,3068,29/12/2011,
PR-00002883,,"Wantirna South Primary School Council",,"Tyner Road","WANTIRNA SOUTH",VIC,3152,29/12/2011,
PR-00002884,,"Willmott Park Primary School Council",,"P.O. Box 252",CRAIGIEBURN,VIC,3064,29/12/2011,
PR-00002885,,"Montmorency Primary School",,"P.O. Box 42",MONTMORENCY,VIC,3094,29/12/2011,
PR-00002886,,"Yarrambat Primary School Council",,"540 Yan Yean Road",YARRAMBAT,VIC,3091,29/12/2011,
PR-00002887,,"Abbotsford Primary School Council",,"Lithgow Street",ABBOTSFORD,VIC,3067,29/12/2011,
PR-00002888,,"Specimen Hill Primary School Council",,"12-26 Inglewood St","GOLDEN SQUARE",VIC,3555,29/12/2011,
PR-00002889,,"Rolling Hills Primary School Council",,"52 Landscape Drive",MOOROOLBARK,VIC,3138,29/12/2011,
PR-00002891,,"Wodonga Primary School",,"Brockley Street",WODONGA,VIC,3690,29/12/2011,
PR-00002892,,"The Grove Childrens Centre Pty Ltd ATF The Grove Children's Centre Unit Trust",,"PO Box 268",NIDDRIE,VIC,3042,29/12/2011,
PR-00002893,,"St Patrick's Primary School",,"PO Box 547",LILYDALE,VIC,3140,29/12/2011,
PR-00002894,,"St Luke's Parish",,"1 Ipswich Ct",WANTIRNA,VIC,3152,29/12/2011,
PR-00002895,,"Tyabb Primary School",,"Mornington - Tyabb Road",TYABB,VIC,3913,29/12/2011,
PR-00002896,,"Gladesville Primary School Council",,"48 Gladesville Drive",KILSYTH,VIC,3137,29/12/2011,
PR-00002897,,"Menzies Creek Primary School Council",,"12 School Road","MENZIES CREEK",VIC,3159,29/12/2011,
PR-00002898,,"Banyan Fields Primary School",,"90 Cadles Road","CARRUM DOWNS",VIC,3201,29/12/2011,
PR-00002899,,"Cana Catholic Primary School",,"46 Banchory Avenue",HILLSIDE,VIC,3037,29/12/2011,
PR-00002900,,"Darrang Primary School Council","Darrang Primary School","Laura Road",KNOXFIELD,VIC,3180,29/12/2011,
PR-00002903,,"Marong Primary School Council",,"PO Box 303",MARONG,VIC,3515,29/12/2011,
PR-00002904,,"The Patch Primary School Council",,"53 Kallista-Emerald Road","THE PATCH",VIC,3792,29/12/2011,
PR-00002906,,"Berwick Primary School Council","Berwick Primary School Council","37 Fairholme Blvd",BERWICK,VIC,3806,29/12/2011,
PR-00002908,,"Beaumaris North Primary School Council",,"Wood Street",BEAUMARIS,VIC,3193,29/12/2011,
PR-00002909,,"Benton Junior College - Benton Childcare Club",,"Benton Junior College, 261 Racecourse Rd",MORNINGTON,VIC,3931,29/12/2011,
PR-00002910,,"Geelong East Primary School Council",,"184 Boundary Road","EAST GEELONG",VIC,3219,29/12/2011,
PR-00002912,,"Moyhu Primary School Council",,"2799 WANGARATTA-WHITFIELD RD",MOYHU,VIC,3732,29/12/2011,
PR-00002913,,"Murrumbeena Primary School OSHC",,"10 Hobart Road",MURRUMBEENA,VIC,3163,29/12/2011,
PR-00002914,,"Westgate Sports & Leisure Inc",,"Po BOX 421","ALTONA NORTH",VIC,3025,29/12/2011,
PR-00002915,,"Thomastown East Primary School Council",,"82 Cedar Street",THOMASTOWN,VIC,3074,29/12/2011,
PR-00002916,,"Wembley Primary School",,"32 St Leonards Ave",YARRAVILLE,VIC,3013,29/12/2011,
PR-00002917,,"Ainslie Parklands Primary School Council",,"Hinkley Avenue",CROYDON,VIC,3136,29/12/2011,
PR-00002918,,"St Peter's Catholic Church",,"13 Davisson Street",EPPING,VIC,3076,29/12/2011,
PR-00002919,,"Croydon Hills Primary School Council",,"Campaspe Drive","CROYDON HILLS",VIC,3136,29/12/2011,
PR-00002920,,"Seaford North Primary School",,"Hallifax Street",SEAFORD,VIC,3198,29/12/2011,
PR-00002923,,"Somers Primary School Council",,"87 Camp Hill Road",SOMERS,VIC,3927,29/12/2011,
PR-00002925,,"Mornington Primary School Council",,"Vale Street",MORNINGTON,VIC,3931,29/12/2011,
PR-00002926,,"Caulfield Primary School",,"724 Glenhuntly Road","CAULFIELD SOUTH",VIC,3162,29/12/2011,
PR-00002927,,"Lamdeni School Inc",,"569 Glenhuntly Road",ELSTERNWICK,VIC,3185,29/12/2011,
PR-00002928,,"Kilsyth Primary School Council",,"Durham Road",KILSYTH,VIC,3137,29/12/2011,
PR-00002929,,"Tatura Primary School Council",,"PO Box 256",TATURA,VIC,3616,29/12/2011,
PR-00002930,,"Bacchus Marsh Primary School Council",,"PO Box 334","BACCHUS MARSH",VIC,3340,29/12/2011,
PR-00002931,,"Bubup Wilam Aboriginal Child and Family Centre Inc","Bubup Wilam Aboriginal Child and Family Centre Inc","P.O. Box 676",THOMASTOWN,VIC,3074,29/12/2011,
PR-00002932,,"Syndal South Primary School",,"14 Montgomery Ave","MOUNT WAVERLEY",VIC,3149,29/12/2011,
PR-00002935,,"Myrniong Primary School Council",,"9 Blow Street",MYRNIONG,VIC,3341,29/12/2011,
PR-00002936,,"Wodonga Catholic Parish - Osburn Campus",,"49 Church Street",WODONGA,VIC,3690,29/12/2011,
PR-00002937,,"Darley Primary School Council",,"PO Box 99","BACCHUS MARSH",VIC,3340,29/12/2011,
PR-00002938,,"Romsey Living Word Inc",,"7 Mitchell Court",ROMSEY,VIC,3434,29/12/2011,
PR-00002939,,"Mount Duneed Regional Primary School",,"Williams Road","MOUNT DUNEED",VIC,3216,29/12/2011,
PR-00002941,,"Parkmore Primary School",,"Jolimont Road","FOREST HILL",VIC,3131,29/12/2011,
PR-00002942,,"Tate Street Primary School Council",,"40 Girton Cres","MANIFOLD HEIGHTS",VIC,3218,29/12/2011,
PR-00002944,,"Montpellier Primary School Council",,"Lambhill Crescent",HIGHTON,VIC,3216,29/12/2011,
PR-00002945,,"Sussex Heights Primary School Council",,"Solomon Street","MOUNT WAVERLEY",VIC,3149,29/12/2011,
PR-00002946,,"Echuca Holiday & After School Care Programs Inc",,"PO BOX 1071",ECHUCA,VIC,3564,29/12/2011,
PR-00002948,,"Grovedale West Primary School Council",,"Noila Street",GROVEDALE,VIC,3216,29/12/2011,
PR-00002951,,"Childcare Management Systems Pty Ltd as trustee for The Rosenberg Buddies Family Trust",,"6 Thanet Street",MALVERN,VIC,3144,29/12/2011,
PR-00002952,,"St Michael's Parish Church",,"456 Dryburgh Street","NORTH MELBOURNE",VIC,3051,29/12/2011,
PR-00002953,,"Birmingham Primary School Council",,"Francis Crescent","MOUNT EVELYN",VIC,3796,29/12/2011,
PR-00002954,,"Our Lady Of Lourdes",,"7 Wynnstay Road","PRAHRAN EAST",VIC,3181,29/12/2011,
PR-00002955,,"Mount Evelyn Primary School Council",,"PO Box 249","MOUNT EVELYN",VIC,3796,29/12/2011,
PR-00002957,,"Ferny Creek Primary School",,"School Road","FERNY CREEK",VIC,3786,29/12/2011,
PR-00002958,,"Heidelberg Primary School Council",,"PO Box 330",HEIDELBERG,VIC,3084,29/12/2011,
PR-00002959,,"Wattle Glen Primary School Council",,"P.O. Box 332","DIAMOND CREEK",VIC,3089,29/12/2011,
PR-00002960,,"Spensley Street Primary School Council",,"193 Spensley Street","CLIFTON HILL",VIC,3068,29/12/2011,
PR-00002961,,"Pascoe Vale North Primary School Council",,"Kent Road","PASCOE VALE",VIC,3044,29/12/2011,
PR-00002962,,"Rosanna Golf Links Primary School Council",,"Interlaken Pde",ROSANNA,VIC,3084,29/12/2011,
PR-00002963,,"Kororoit Creek Primary School Council",,"PO Box 3012","CAROLINE SPRINGS",VIC,3023,29/12/2011,
PR-00002964,,"Kinglake Ranges Children's Centre Inc",,"PO Box 107",KINGLAKE,VIC,3763,29/12/2011,
PR-00002965,,"Monash Special Development School",,"15-25 Academy Ave","WHEELERS HILL",VIC,3150,29/12/2011,
PR-00002969,,"Hamilton (Gray St) Primary School",,"PO Box 203",HAMILTON,VIC,3300,29/12/2011,
PR-00002970,,"The Presbyterian School of St Andrew Ltd",,"PO Box 4646",WANTIRNA,VIC,3152,29/12/2011,
PR-00002973,,"Roxburgh Homestead Primary School",,"P.O. Box 187",SOMERTON,VIC,3062,29/12/2011,
PR-00002974,,"Queenscliff Primary School Council",,"Queenscliff Primary School, CNR STOKES & STEVENS STREET",QUEENSCLIFF,VIC,3225,29/12/2011,
PR-00002975,,"Our Lady's Primary School",,"P.O. Box 141",CRAIGIEBURN,VIC,3064,29/12/2011,
PR-00002977,,"Drysdale Primary School Council",,"Stonehouse Place",DRYSDALE,VIC,3222,29/12/2011,
PR-00002978,,"Mandama Primary School Council",,"10 Corang Ave",GROVEDALE,VIC,3216,29/12/2011,
PR-00002979,,"Bundoora Primary School",,"Balmoral Ave",BUNDOORA,VIC,3083,29/12/2011,
PR-00002980,,"Association for Christian Education of Frankston INC",,"120-128 Robinsons Road",LANGWARRIN,VIC,3910,29/12/2011,
PR-00002981,,"Thomastown West Primary School",,"98- 112 Main Street",THOMASTOWN,VIC,3074,29/12/2011,
PR-00002982,,"Pinewood Primary School Council",,"Pinewood Drive","MOUNT WAVERLEY",VIC,3149,29/12/2011,
PR-00002983,,"Upwey Primary School",,"15 Darling Avenue",UPWEY,VIC,3158,29/12/2011,
PR-00002984,,"Mullum Primary School - School Council",,"Panfield Ave",RINGWOOD,VIC,3134,29/12/2011,
PR-00002985,,"Rowville Aftercare Program Inc",,"P. O Box 2785",ROWVILLE,VIC,3178,29/12/2011,
PR-00002986,,"Healesville Primary School",,"View St",HEALESVILLE,VIC,3777,29/12/2011,
PR-00002987,,"Coburg Primary School Council",,"98 Bell Street",COBURG,VIC,3058,29/12/2011,
PR-00002988,,"Roberts McCubbin Primary School",,"Birdwood St","BOX HILL SOUTH",VIC,3128,29/12/2011,
PR-00002989,,"Our Holy Redeemer School",,"311 Mont Albert Rd","SURREY HILLS",VIC,3127,29/12/2011,
PR-00001939,,"Yarrambat Preschool Inc",,"450 Ironbark Road",YARRAMBAT,VIC,3091,29/12/2011,
PR-00001940,,"Yarriambiack Shire Council",,"PO Box 243",WARRACKNABEAL,VIC,3393,29/12/2011,"3.  The approved provider must ensure that all educators employed with Yarriambiack Shire Council attend an information forum conducted by the 
Department in relation to the content and application of the Education and Care Services National Law Act 2010 and the Education and Care Services National Regulations 2011 by 15 June 2015. 4.  The approved provider must ensure that all services where children are delivered to and/or collected from the education and care service premises by bus, document these arrangements in the service’s policy and procedures for the delivery of children to and collection of children from the education and care service premises and that the service provides a copy of the service’s policy and procedures for the delivery and collection of children to and collection of children from the education and care service premises to the parents of children being transported by bus to and from the service the 15 June 2015. 5. The approved provider must ensure that all services where children are transported as part of the education and care service have a documented policy and procedure that outlines these arrangements including the requirements for the excursion, the risk assessment for the excursion and for authorisation for the excursion by the 15 June 2015."
PR-00001941,,"Yavneh College Nominees Pty Ltd",,"2 Nagle Ave",ELSTERNWICK,VIC,3185,29/12/2011,
PR-00001942,,"Yea Preschool Inc",,"PO Box 45",YEA,VIC,3717,29/12/2011,
PR-00001943,,"Yongala Preschool Inc",,"25 Nott Street",BALWYN,VIC,3103,29/12/2011,
PR-00001944,,Yooralla,,"93 Sladen St",CRANBOURNE,VIC,3977,29/12/2011,
PR-00001946,,"Victorian YMCA Community Programming Pty Ltd",,"U 502  990 Whitehorse Rd","BOX HILL",VIC,3128,29/12/2011,
PR-00001947,,"Early Childhood Management Services Inc",,"PO Box 182",NORTHCOTE,VIC,3070,13/04/2012,
PR-00001948,,"Albert Park Preschool Inc",,"PO Box 209","ALBERT PARK",VIC,3206,29/12/2011,
PR-00001949,,"Preschool Association Middle Park Inc",,"Civic Kindergarten, 256 Richardson St","MIDDLE PARK",VIC,3206,29/12/2011,
PR-00001950,,"Lindenow & District Preschool Inc",,"152 Main Road",LINDENOW,VIC,3865,29/12/2011,
PR-00001952,,"Colchester Park Preschool Inc",,"P O Box 212","THE BASIN",VIC,3154,29/12/2011,
PR-00001953,,"Chabad House of Malvern/Toorak Inc",,"353 Glenferrie Road",ARMADALE,VIC,3143,29/12/2011,
PR-00001955,,"West Hawthorn Early Childhood Centre Inc",,"63-65 Church St, 65 Church St",HAWTHORN,VIC,3122,29/12/2011,
PR-00001956,,"Yarra Ranges Kindergartens Inc.",,"SUITE 11 1 EAST RIDGE DR","CHIRNSIDE PARK",VIC,3116,29/12/2011,
PR-00001957,,"Melissa Heath",,"38-40 Warranwood Road",WARRANWOOD,VIC,3134,29/12/2011,
PR-00001958,,"Wilson Street Kindergarten Inc",,"11 Wilson  Street",BRIGHTON,VIC,3186,29/12/2011,
PR-00001960,,"Marea Sholly and Kerry McCartney as Trustees for Koolyangarra Trust",,"30 William Street","PORT FAIRY",VIC,3284,29/12/2011,
PR-00001961,,"Ferntree Gully 3 Year old Preschool Inc",,"278 WINDERMERE DR","FERNTREE GULLY",VIC,3156,29/12/2011,
PR-00001962,,"Camberwell Kindergarten and Child Care Centre Inc",,"25 Trafalgar Rd",CAMBERWELL,VIC,3124,29/12/2011,
PR-00001963,,"Alchester Village Preschool Inc",,"30 Lockwoods Rd Boronia",BORONIA,VIC,3155,29/12/2011,
PR-00001964,,"Highgate Early Learning Centre Inc",,"3 Highgate Grove",ASHBURTON,VIC,3147,29/12/2011,
PR-00001965,,"Tatura Children's Centre Inc",,"5-9 Kerferd Street",TATURA,VIC,3616,29/12/2011,
PR-00001966,,"Brighton Beach Childcare Centre Pty Ltd",,"21 New Street",BRIGHTON,VIC,3186,29/12/2011,
PR-00001967,,"Whitehorse City Council",,"LOCKED BAG 2",NUNAWADING,VIC,3131,29/12/2011,
PR-00001968,,"Robyn Jane Children's Centre Inc",,"6-16A HAIG AV",HEALESVILLE,VIC,3777,29/12/2011,
PR-00001969,,"Simgar Pty Ltd ATF the Evans Family Trust",,"24 Sheila St",PRESTON,VIC,3072,29/12/2011,
PR-00001970,,"Toorak College Ltd",,"PO Box 150","MOUNT ELIZA",VIC,3930,29/12/2011,
PR-00001972,,"Hothlyn Drive Children's Centre Pty Ltd",,"144 Hothlyn Drive",CRAIGIEBURN,VIC,3064,29/12/2011,
PR-00001974,,"Maroondah Montessori Preschool Inc",,"17D Everard Rd","RINGWOOD EAST",VIC,3135,29/12/2011,
PR-00001975,,"St Margaret's School",,"PO Box 138",BERWICK,VIC,3806,29/12/2011,
PR-00001977,,"Mansfield Rudolf Steiner School and Kindergarten Inc",,"PO Box 679",MANSFIELD,VIC,3722,29/12/2011,
PR-00001978,,"Mary Collins",,"18 Cristata Avenue","ENDEAVOUR HILLS",VIC,3802,29/12/2011,
PR-00001980,,"Penbank Inc",,"Tyabb Road",MOOROODUC,VIC,3933,29/12/2011,
PR-00001982,,"St Mary's Preschool Centre Inc","St Mary's Preschool Centre","187 Dendy St","BRIGHTON EAST",VIC,3187,29/12/2011,
PR-00001984,,"Alphington Grammar School",,"Old Heidelberg Road",ALPHINGTON,VIC,3078,29/12/2011,
PR-00001985,,"Wilbec Pty Ltd",,"37 Duke St",WINDSOR,VIC,3181,29/12/2011,
PR-00001986,,"Caulfield Grammar School",,"CAULFIELD GRAMMAR, 5-15 WILLOBY AV","GLEN IRIS",VIC,3146,29/12/2011,
PR-00001987,,"St Dunstan's Anglican Kindergarten Inc",,"163 WATTLE VALLEY RD",CAMBERWELL,VIC,3124,29/12/2011,
PR-00001988,,"Lilydale Preschool Centre Inc",,"PO Box 336",LILYDALE,VIC,3140,29/12/2011,
PR-00001989,,"Woodleigh School",,"3 Minimbah Court",FRANKSTON,VIC,3199,29/12/2011,
PR-00001991,,"One World for Children Pty Ltd",,"PO Box 701","GEELONG NORTH",VIC,3215,29/12/2011,
PR-00001992,,"Westgarth Kindergarten Inc",,"PO Box 557",NORTHCOTE,VIC,3070,29/12/2011,
PR-00001993,,"Freshwater Creek Steiner School Association Inc.",,"52 McIntyres Rd","FRESHWATER CREEK",VIC,3217,29/12/2011,
PR-00001994,,"Kangerong Pty Ltd",,"PO Box 60",DROMANA,VIC,3936,29/12/2011,
PR-00001995,,"Hilite Pty Ltd",,"4 Kumara Place","CLAYTON NORTH",VIC,3168,29/12/2011,
PR-00001997,,"Essex Heights Juniors Pty Ltd",,"102 Huntingdale Road","MOUNT WAVERLEY",VIC,3149,29/12/2011,
PR-00001998,,"Rutherglen Kindergarten Inc",,"PO Box 290",RUTHERGLEN,VIC,3685,29/12/2011,
PR-00001999,,"Beechworth Montessori Children's Group Inc",,"PO Box 306",BEECHWORTH,VIC,3747,29/12/2011,
PR-00002003,,"Total Property & Project Management Services Pty Ltd",,"667 Pascoe Vale Road","OAK PARK",VIC,3046,14/05/2012,
PR-00002004,,"Wadad Pty Ltd",,"35 Lakewood Drive",KNOXFIELD,VIC,3180,29/12/2011,
PR-00002005,,"Meeniyan Pre-School Inc",,"95 WHITELAW ST",MEENIYAN,VIC,3956,29/12/2011,
PR-00002008,,"San Remo Preschool Centre Inc",,"PO Box 324","SAN REMO",VIC,3925,29/12/2011,
PR-00002011,,"Lilydale Community Child Care Inc",,"U 1  19 Lacey St",CROYDON,VIC,3136,29/12/2011,
PR-00002013,,"Monash University Gippsland Student Union Inc",,"Mugsu Inc. Switchback Road",CHURCHILL,VIC,3842,29/12/2011,
PR-00002014,,"Castlemaine Steiner School Ltd",,"PO Box 473",CASTLEMAINE,VIC,3450,29/12/2011,
PR-00002015,,"Kath Foley Childrens Centre & Kindergarten Inc",,"203 Dawson Street",SALE,VIC,3850,29/12/2011,
PR-00002018,,"St Peter's Kindergarten Inc",,"77A WERE ST, BRIGHTON VIC 3186",BRIGHTON,VIC,3186,29/12/2011,
PR-00002019,,"Knight Street Preschool & Child Care Centre Pty Ltd",,"164 Knight Street",SHEPPARTON,VIC,3630,29/12/2011,
PR-00002020,,"Piper Street Children's Centre Pty Ltd",,"PO Box 366",KILMORE,VIC,3764,29/12/2011,
PR-00002021,,"Holbury Children's Centre Inc",,"29 Raleigh Street","BLACKBURN SOUTH",VIC,3130,29/12/2011,
PR-00002024,,"Crossway Pre-School Ltd.","Crossway Pre-School Ltd.","40 Outer Crescent",BRIGHTON,VIC,3186,29/12/2011,
PR-00002025,,"Holy Trinity Anglican Kindergarten Hampton Inc",,"8 Thomas Street",HAMPTON,VIC,3188,29/12/2011,
PR-00002026,,"Greythorn Early Childhood Centre Inc",,"4 Trentwood Avenue","BALWYN NORTH",VIC,3104,29/12/2011,
PR-00002027,,"Fintona Girls School",,"79 Balwyn Road",BALWYN,VIC,3103,29/12/2011,
PR-00002028,,"The Society of Jesus in Victoria",,"Xavier College, 135 Barkers Rd",KEW,VIC,3101,29/12/2011,
PR-00002029,,"Sophia Mundi Ltd",,"1 St Heliers Street",ABBOTSFORD,VIC,3067,29/12/2011,
PR-00002030,,"Sale Combined Kindergartens Inc",,"29 Cranswick Crescent, P O Box 1243",SALE,VIC,3850,29/12/2011,
PR-00002031,,"Kordus Pty Ltd",,"190 Burke Road","GLEN IRIS",VIC,3146,29/12/2011,
PR-00002032,,"Jindi Woraback Children's Centre Inc",,"PO Box 5120",CAIRNLEA,VIC,3023,29/12/2011,
PR-00002033,,"Leongatha Children's Centre Inc",,"Symmons Street",LEONGATHA,VIC,3953,29/12/2011,
PR-00002034,,"Con Michaelides; Pauline Michaelides",,"96 Moreland Road",BRUNSWICK,VIC,3056,29/12/2011,
PR-00002035,,"Jane Webb; Philip Webb",,"15 Gwenda Avenue",CANTERBURY,VIC,3126,29/12/2011,
PR-00002036,,"Christ Church Grammar School",,"PO Box 392","SOUTH YARRA",VIC,3141,29/12/2011,
PR-00002037,,"All Saints Preschool Yarra Junction Inc",,"2438 Warburton H'way","YARRA JUNCTION",VIC,3797,29/12/2011,
PR-00002038,,"Stonnington Children's Centre Inc",,"110 Union Street",WINDSOR,VIC,3181,29/12/2011,
PR-00002042,,"Friend Street Kindergarten Inc",,"5 Friend St","MONT ALBERT NORTH",VIC,3129,29/12/2011,
PR-00002043,,"Arrabri Kindergarten Inc",,"42-78 Allambanan Dr","BAYSWATER NORTH",VIC,3153,29/12/2011,
PR-00002045,,"John William Fenn; Rhonda Joan Fenn",,"476 Queens Parade","FITZROY NORTH",VIC,3068,29/12/2011,
PR-00002047,,"F&N Hamza","Grace Family Day Care","21-24 Federation Way, Brookside Early Learning Centre","CAROLINE SPRINGS",VIC,3023,29/12/2011,
PR-00002050,,"The Peninsula School",,"20 WOORALLA DR","MOUNT ELIZA",VIC,3930,29/12/2011,
PR-00002051,,"Anodin Group Child Care Centres Pty Ltd",,"52 Speight Street",THORNBURY,VIC,3071,29/12/2011,
PR-00002053,,"Ballarat Steiner School and Kindergarten Inc",,"Ballarat Steiner School, 244 Moss Ave","MOUNT HELEN",VIC,3350,29/12/2011,
PR-00002054,,"Kiddlecare Pty Ltd",,"PO Box 294","OCEAN GROVE",VIC,3226,29/12/2011,
PR-00002057,,"TGL (Vic) Pty Ltd",,"18 Acacia Avenue",MENTONE,VIC,3194,29/12/2011,
PR-00002058,,"St John's Kindergarten Committee Croydon Inc",,"5-9 TOORAK AV",CROYDON,VIC,3136,29/12/2011,
PR-00002059,,"Chairo Parent Governed Christian Education Limited",,"PO BOX 93",DROUIN,VIC,3818,29/12/2011,
PR-00002060,,"Marysville and District Kindergarten Association Inc",,"Marysville Primary School, 15 Falls Rd",MARYSVILLE,VIC,3779,29/12/2011,
PR-00002061,,"Gray Court Preschool Inc",,"6 Gray Court",MOOROOLBARK,VIC,3138,29/12/2011,
PR-00002062,,"Darebin Childcare and Kindergarten Inc",,"6-8 Kenilworth Street",RESERVOIR,VIC,3073,29/12/2011,
PR-00002063,,"Gower Street Kindergarten Inc",,"146 Gower Street",PRESTON,VIC,3072,29/12/2011,
PR-00002064,,"J S Grey Kindergarten Association Inc",,"JS Grey Kindergarten, 524 Gilbert Rd",PRESTON,VIC,3072,29/12/2011,
PR-00002065,,"Oakhill Preschool Assoc Inc",,"12 Acheron Avenue",RESERVOIR,VIC,3073,29/12/2011,
PR-00002066,,"Towong Shire Council",,"PO Box 55",TALLANGATTA,VIC,3700,29/12/2011,
PR-00002067,,"Little Babe's Pty Ltd",,"42 Kings Road","ST ALBANS",VIC,3021,29/12/2011,
PR-00002068,,"Federation University Australia",,"PO Box 663",BALLARAT,VIC,3350,10/05/2012,
PR-00002069,,"Otway Health","Otway Health & Community Services","PO Box 84","APOLLO BAY",VIC,3233,29/12/2011,
PR-00009674,,"DEPARTMENT OF EDUCATION",,"200 VICTORIA PDE","EAST MELBOURNE",VIC,3002,24/09/2024,
PR-00009686,,"KURRAJONG KIDS PTY LTD","KURRAJONG KIDS PTY LTD","PO BOX 119",WODONGA,VIC,3689,30/12/2024,
PR-00009689,,"HOPE OVERPORT PTY LTD","Hope Early Learning Centre","3 LEVIDA DR","CARRUM DOWNS",VIC,3201,23/09/2024,
PR-00009719,,"STRAWCOCO PTY LTD","TANGERINE PLAYSCHOOL / FAMILY DAY CARE","18 SHEPHERD ST","WILLIAMS LANDING",VIC,3027,19/01/2025,
PR-00009723,,"MANDUO PTY LTD ATF MANDUO FAMILY TRUST","Manduo Pty Ltd","UNIT 5 1A LISSON GR",HAWTHORN,VIC,3122,24/09/2024,
PR-00009724,,"ONE WORLD FOR CHILDREN (CHILDCARE) PTY LTD","One World Childrens Centre","99 WARATAH ST","GEELONG WEST",VIC,3218,30/08/2024,
PR-00009732,,"Monash Vale ELC Pty Ltd ATF The Trustee for Monash Vale ELC Trust","Monash Vale ELC Pty Ltd","1758 DANDENONG RD",CLAYTON,VIC,3168,12/08/2024,
PR-00009733,,"Bridge Road ELC Pty Ltd ATF The Trustee for Bridge Road ELC Trust","Bridge Road ELC Pty Ltd","624-628 BRIDGE RD",RICHMOND,VIC,3121,12/08/2024,
PR-00009742,,"MMA EDUCATIONAL SERVICES PTY LTD",,"47 SOUTER AV",KALKALLO,VIC,3064,23/12/2024,
PR-00009770,,"PALOMBARA EARLY LEARNING CENTRE PTY LTD","PALOMBARA EARLY LEARNING CENTRE PTY LTD","4 EVANS CT",TOORAK,VIC,3142,25/11/2024,"Prior to applying for service approval or transfer, the persons with management or control of the approved provider, must undertake professional development in Quality Area 7 – Governance and Leadership. 
- The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 
- The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00009776,,"ALPHINGTON EARLY LEARNING PTY LTD ATF The Trustee for Fam Family Trust","Alphington Early Learning Centre","10 TOINETTE CT","DONCASTER EAST",VIC,3109,24/11/2024,
PR-00009778,,"MEL TRADING OPERATIONS  PTY LTD","Maples Early Learning","PO BOX 2182","GLADSTONE PARK",VIC,3043,23/09/2024,
PR-00009793,,"Uplift Childcare Management Pty Ltd","Uplift Early Learning Center","UNIT 8 362 BELMORE RD",BALWYN,VIC,3103,19/12/2024,
PR-00009796,,"TOORA PRIMARY SCHOOL COUNCIL","Toora Primary School Council","5 HARRIET ST",TOORA,VIC,3962,03/10/2024,
PR-00009806,,"OUR LITTLE VILLAGE - FAMILY DAYCARE PTY LTD",,"126 SPRING ST",RESERVOIR,VIC,3073,23/12/2024,
PR-00009809,,"GUMBOOTS EARLY LEARNING RIDDELLS CREEK PTY LTD","Gumboots Early Learning Riddells Creek","70 BREWSTER ST",ESSENDON,VIC,3040,30/08/2024,
PR-00009815,,"PYRAMID HILL COLLEGE COUNCIL","Pyramid Hill College","PYRAMID HILL COLLEGE, 97-101 KELLY ST","PYRAMID HILL",VIC,3575,29/11/2024,
PR-00009828,,"WARRENHEIP PRIMARY SCHOOL COUNCIL","Warrenheip Primary School Council","WARRENHEIP PRIMARY SCHOOL, 93 WARRENHEIP RD",WARRENHEIP,VIC,3352,29/11/2024,
PR-00009831,,"LLEWIE ROSANNA PTY LTD","Kool Kidz Rosanna","9 BLOOMFIELD DR","SOUTH MORANG",VIC,3752,22/08/2024,
PR-00009832,,"LLEWIE MELTON SOUTH PTY LTD","Kool Kidz Melton South","9 BLOOMFIELD DR","SOUTH MORANG",VIC,3752,22/08/2024,
PR-00009851,,"Wallaby Childcare Lollypop Creek PTY LTD ATF Wallaby Childcare Lollypop Creek Trust","Wallaby Childcare Lollypop Creek PTY LTD","115 BEACH RD",SANDRINGHAM,VIC,3191,12/10/2024,
PR-00009858,,"CUTECH PTY LTD","CUTECH PTY LTD","13 HAZELNUT BVD",BERWICK,VIC,3806,05/12/2024,
PR-00009875,,"BLOOMING MINDS EARLY LEARNING CENTRE PTY LTD",,"2 REES CT","MOUNT WAVERLEY",VIC,3149,08/12/2024,
PR-00009876,,"SPEEDY KIDS PTY LTD",,"3 CHERRY CT",MITCHAM,VIC,3132,07/05/2025,"Under section 19(1) of the National Law, I have made a decision to impose the following conditions on the provider approval:
- Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development on the Child Safe Standards
- The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development.
-The Department must be provided with proof of completion of the professional development within 7 days of completion."
